network,station,location,channel,longitude,latitude,elevation_m,response
CI,CCC,,BHE,-117.36453,35.52495,670.0,627372967.51
CI,CCC,,BHN,-117.36453,35.52495,670.0,627372967.51
CI,CCC,,BHZ,-117.36453,35.52495,670.0,627372967.51
CI,CCC,,HHE,-117.36453,35.52495,670.0,627368612.81
CI,CCC,,HHN,-117.36453,35.52495,670.0,627368612.81
CI,CCC,,HHZ,-117.36453,35.52495,670.0,627368612.81
CI,CCC,,HNE,-117.36453,35.52495,670.0,213979.64
CI,CCC,,HNN,-117.36453,35.52495,670.0,214321.79
CI,CCC,,HNZ,-117.36453,35.52495,670.0,213808.57
CI,CLC,,BHE,-117.59751,35.81574,775.0,627373000.0
CI,CLC,,BHN,-117.59751,35.81574,775.0,627373000.0
CI,CLC,,BHZ,-117.59751,35.81574,775.0,627373000.0
CI,CLC,,HHE,-117.59751,35.81574,775.0,627369000.0
CI,CLC,,HHN,-117.59751,35.81574,775.0,627369000.0
CI,CLC,,HHZ,-117.59751,35.81574,775.0,627369000.0
CI,CLC,,HNE,-117.59751,35.81574,775.0,213945.0
CI,CLC,,HNN,-117.59751,35.81574,775.0,213809.0
CI,CLC,,HNZ,-117.59751,35.81574,775.0,213740.0
CI,JRC2,,BHE,-117.80885,35.98249,1469.0,784872189.89
CI,JRC2,,BHN,-117.80885,35.98249,1469.0,784872189.89
CI,JRC2,,BHZ,-117.80885,35.98249,1469.0,790484146.3
CI,JRC2,,HHE,-117.80885,35.98249,1469.0,784866741.96
CI,JRC2,,HHN,-117.80885,35.98249,1469.0,784866741.96
CI,JRC2,,HHZ,-117.80885,35.98249,1469.0,790478659.42
CI,JRC2,,HNE,-117.80885,35.98249,1469.0,213808.57
CI,JRC2,,HNN,-117.80885,35.98249,1469.0,213945.43
CI,JRC2,,HNZ,-117.80885,35.98249,1469.0,214184.93
CI,LRL,,BHE,-117.68212,35.47954,1340.0,632496000.0
CI,LRL,,BHN,-117.68212,35.47954,1340.0,634185000.0
CI,LRL,,BHZ,-117.68212,35.47954,1340.0,631652000.0
CI,LRL,,HHE,-117.68212,35.47954,1340.0,629025000.0
CI,LRL,,HHN,-117.68212,35.47954,1340.0,630705000.0
CI,LRL,,HHZ,-117.68212,35.47954,1340.0,628185000.0
CI,LRL,,HNE,-117.68212,35.47954,1340.0,214001.0
CI,LRL,2C,HNE,-117.68212,35.47954,1340.0,213866.0
CI,LRL,,HNN,-117.68212,35.47954,1340.0,213916.0
CI,LRL,2C,HNN,-117.68212,35.47954,1340.0,213781.0
CI,LRL,,HNZ,-117.68212,35.47954,1340.0,213445.0
CI,LRL,2C,HNZ,-117.68212,35.47954,1340.0,213310.0
CI,MPM,,BHE,-117.48901,36.05799,1839.0,627372967.51
CI,MPM,,BHN,-117.48901,36.05799,1839.0,627372967.51
CI,MPM,,BHZ,-117.48901,36.05799,1839.0,627372967.51
CI,MPM,,HHE,-117.48901,36.05799,1839.0,627368612.81
CI,MPM,,HHN,-117.48901,36.05799,1839.0,627368612.81
CI,MPM,,HHZ,-117.48901,36.05799,1839.0,627368612.81
CI,MPM,,HNE,-117.48901,36.05799,1839.0,213911.21
CI,MPM,,HNN,-117.48901,36.05799,1839.0,214219.15
CI,MPM,,HNZ,-117.48901,36.05799,1839.0,213911.21
CI,Q0072,01,HNE,-117.666721,35.609617,695.0,256354.0
CI,Q0072,01,HNN,-117.666721,35.609617,695.0,256354.0
CI,Q0072,01,HNZ,-117.666721,35.609617,695.0,256354.0
CI,SLA,,BHE,-117.28332,35.89095,1174.0,622341000.0
CI,SLA,,BHN,-117.28332,35.89095,1174.0,618995000.0
CI,SLA,,BHZ,-117.28332,35.89095,1174.0,616485000.0
CI,SLA,,HHE,-117.28332,35.89095,1174.0,622336000.0
CI,SLA,,HHN,-117.28332,35.89095,1174.0,618991000.0
CI,SLA,,HHZ,-117.28332,35.89095,1174.0,616481000.0
CI,SLA,,HNE,-117.28332,35.89095,1174.0,214253.0
CI,SLA,,HNN,-117.28332,35.89095,1174.0,213672.0
CI,SLA,,HNZ,-117.28332,35.89095,1174.0,213980.0
CI,SRT,,BHE,-117.75051,35.69235,667.0,633341000.0
CI,SRT,,BHN,-117.75051,35.69235,667.0,633341000.0
CI,SRT,,BHZ,-117.75051,35.69235,667.0,633341000.0
CI,SRT,,HHE,-117.75051,35.69235,667.0,629865000.0
CI,SRT,,HHN,-117.75051,35.69235,667.0,629865000.0
CI,SRT,,HHZ,-117.75051,35.69235,667.0,629865000.0
CI,SRT,,HNE,-117.75051,35.69235,667.0,214301.0
CI,SRT,,HNN,-117.75051,35.69235,667.0,213873.0
CI,SRT,,HNZ,-117.75051,35.69235,667.0,214087.0
CI,TOW2,,BHE,-117.76488,35.80856,685.0,626915000.0
CI,TOW2,,BHN,-117.76488,35.80856,685.0,626915000.0
CI,TOW2,,BHZ,-117.76488,35.80856,685.0,626843000.0
CI,TOW2,,HHE,-117.76488,35.80856,685.0,626911000.0
CI,TOW2,,HHN,-117.76488,35.80856,685.0,626911000.0
CI,TOW2,,HHZ,-117.76488,35.80856,685.0,626839000.0
CI,TOW2,,HNE,-117.76488,35.80856,685.0,213800.0
CI,TOW2,,HNN,-117.76488,35.80856,685.0,214142.0
CI,TOW2,,HNZ,-117.76488,35.80856,685.0,214356.0
CI,WBM,,BHE,-117.89049,35.60839,892.0,316472000.0
CI,WBM,,BHN,-117.89049,35.60839,892.0,316472000.0
CI,WBM,,BHZ,-117.89049,35.60839,892.0,316472000.0
CI,WBM,,HHE,-117.89049,35.60839,892.0,314768000.0
CI,WBM,,HHN,-117.89049,35.60839,892.0,314768000.0
CI,WBM,,HHZ,-117.89049,35.60839,892.0,314768000.0
CI,WBM,,HNE,-117.89049,35.60839,892.0,213683.0
CI,WBM,2C,HNE,-117.89049,35.60839,892.0,213520.0
CI,WBM,,HNN,-117.89049,35.60839,892.0,214197.0
CI,WBM,2C,HNN,-117.89049,35.60839,892.0,214033.0
CI,WBM,,HNZ,-117.89049,35.60839,892.0,213683.0
CI,WBM,2C,HNZ,-117.89049,35.60839,892.0,213520.0
CI,WCS2,,BHE,-117.76526,36.02521,1143.0,626915000.0
CI,WCS2,,BHN,-117.76526,36.02521,1143.0,626915000.0
CI,WCS2,,BHZ,-117.76526,36.02521,1143.0,626843000.0
CI,WCS2,,HHE,-117.76526,36.02521,1143.0,626911000.0
CI,WCS2,,HHN,-117.76526,36.02521,1143.0,626911000.0
CI,WCS2,,HHZ,-117.76526,36.02521,1143.0,626839000.0
CI,WCS2,,HNE,-117.76526,36.02521,1143.0,213757.0
CI,WCS2,,HNN,-117.76526,36.02521,1143.0,213330.0
CI,WCS2,,HNZ,-117.76526,36.02521,1143.0,213415.0
CI,WNM,,EHZ,-117.90616,35.8422,974.3,69306200.0
CI,WNM,,HNE,-117.90616,35.8422,974.3,214054.0
CI,WNM,2C,HNE,-117.90616,35.8422,974.3,214048.0
CI,WNM,,HNN,-117.90616,35.8422,974.3,213926.0
CI,WNM,2C,HNN,-117.90616,35.8422,974.3,213920.0
CI,WNM,,HNZ,-117.90616,35.8422,974.3,214054.0
CI,WNM,2C,HNZ,-117.90616,35.8422,974.3,214048.0
CI,WRC2,,BHE,-117.65038,35.9479,943.0,633341000.0
CI,WRC2,,BHN,-117.65038,35.9479,943.0,633341000.0
CI,WRC2,,BHZ,-117.65038,35.9479,943.0,633341000.0
CI,WRC2,,HHE,-117.65038,35.9479,943.0,629865000.0
CI,WRC2,,HHN,-117.65038,35.9479,943.0,629865000.0
CI,WRC2,,HHZ,-117.65038,35.9479,943.0,629865000.0
CI,WRC2,,HNE,-117.65038,35.9479,943.0,214472.0
CI,WRC2,,HNN,-117.65038,35.9479,943.0,214215.0
CI,WRC2,,HNZ,-117.65038,35.9479,943.0,214301.0
CI,WRV2,,EHZ,-117.8904,36.00774,1070.0,71427500.0
CI,WRV2,,HNE,-117.8904,36.00774,1070.0,213883.0
CI,WRV2,2C,HNE,-117.8904,36.00774,1070.0,213877.0
CI,WRV2,,HNN,-117.8904,36.00774,1070.0,235224.0
CI,WRV2,2C,HNN,-117.8904,36.00774,1070.0,235218.0
CI,WRV2,,HNZ,-117.8904,36.00774,1070.0,235139.0
CI,WRV2,2C,HNZ,-117.8904,36.00774,1070.0,235132.0
CI,WVP2,,EHZ,-117.81769,35.94939,1465.0,68019200.0
CI,WVP2,,HNE,-117.81769,35.94939,1465.0,213797.0
CI,WVP2,2C,HNE,-117.81769,35.94939,1465.0,213791.0
CI,WVP2,,HNN,-117.81769,35.94939,1465.0,213584.0
CI,WVP2,2C,HNN,-117.81769,35.94939,1465.0,213578.0
CI,WVP2,,HNZ,-117.81769,35.94939,1465.0,213755.0
CI,WVP2,2C,HNZ,-117.81769,35.94939,1465.0,213749.0
